"input","posture","accepted","scheme_ok","username_ok","password_ok","host_ok","port_ok","path_ok","query_ok","fragment_ok","full_parity","rurl_scheme","exp_scheme","rurl_username","exp_username","rurl_password","exp_password","rurl_host","exp_host","rurl_port","exp_port","rurl_path","exp_path","rurl_query","exp_query","rurl_fragment","exp_fragment","rurl_status"
"http://example.com/foo/../../..","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/","/","","","","","ok"
"http://example.com/foo/../../../ton","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/ton","/ton","","","","","ok"
"http://example.com/foo/%2e","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/%2e%2","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/%2e%2","/foo/%2e%2","","","","","ok"
"http://example.com/foo/%2e./%2e%2e/.%2e/%2e.bar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%2e.bar","/%2e.bar","","","","","ok"
"http://example.com////../..","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","//","//","","","","","ok"
"http://example.com/foo/bar//../..","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/","/foo/","","","","","ok"
"http://example.com/foo/bar//..","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo/bar/","/foo/bar/","","","","","ok"
"http://example.com/foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo","/foo","","","","","ok"
"http://example.com/%20foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%20foo","/%20foo","","","","","ok"
"http://example.com/foo%","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%","/foo%","","","","","ok"
"http://example.com/foo%2","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%2","/foo%2","","","","","ok"
"http://example.com/foo%2zbar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%2zbar","/foo%2zbar","","","","","ok"
"http://example.com/foo%2Â©zbar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%2%C3%82%C2%A9zbar","/foo%2%C3%82%C2%A9zbar","","","","","ok"
"http://example.com/foo%41%7a","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%41%7a","/foo%41%7a","","","","","ok"
"http://example.com/foo	%91","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%C2%91%91","/foo%C2%91%91","","","","","ok"
"http://example.com/foo%00%51","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foo%00%51","/foo%00%51","","","","","ok"
"http://example.com/(%28:%3A%29)","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/(%28:%3A%29)","/(%28:%3A%29)","","","","","ok"
"http://example.com/%3A%3a%3C%3c","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%3A%3a%3C%3c","/%3A%3a%3C%3c","","","","","ok"
"http://example.com/foo	bar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/foobar","/foobar","","","","","ok"
"http://example.com\\foo\\bar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","//foo//bar","//foo//bar","","","","","ok"
"http://example.com/%7Ffp3%3Eju%3Dduvgw%3Dd","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%7Ffp3%3Eju%3Dduvgw%3Dd","/%7Ffp3%3Eju%3Dduvgw%3Dd","","","","","ok"
"http://example.com/@asdf%40","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/@asdf%40","/@asdf%40","","","","","ok"
"http://example.com/你好你好","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%E4%BD%A0%E5%A5%BD%E4%BD%A0%E5%A5%BD","/%E4%BD%A0%E5%A5%BD%E4%BD%A0%E5%A5%BD","","","","","ok"
"http://example.com/‥/foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%E2%80%A5/foo","/%E2%80%A5/foo","","","","","ok"
"http://example.com/﻿/foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%EF%BB%BF/foo","/%EF%BB%BF/foo","","","","","ok"
"http://example.com/‮/foo/‭/bar","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/%E2%80%AE/foo/%E2%80%AD/bar","/%E2%80%AE/foo/%E2%80%AD/bar","","","","","ok"
"http://www.google.com/foo?bar=baz#","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.google.com","www.google.com","","","/foo","/foo","bar=baz","bar=baz","","","ok"
"http://www.google.com/foo?bar=baz# »","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.google.com","www.google.com","","","/foo","/foo","bar=baz","bar=baz","%20%C2%BB","%20%C2%BB","ok"
"data:test# »","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"data","data","","","","","","","","","test","test","","","%20%C2%BB","%20%C2%BB","ok"
"http://www.google.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.google.com","www.google.com","","","/","/","","","","","ok"
"http://192.0x00A80001","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","192.168.0.1","192.168.0.1","","","/","/","","","","","ok"
"http://www/foo%2Ehtml","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www","www","","","/foo%2Ehtml","/foo%2Ehtml","","","","","warning-no-tld"
"http://www/foo/%2E/html","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www","www","","","/foo/html","/foo/html","","","","","warning-no-tld"
"http://%25DOMAIN:foobar@foodomain.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","%25DOMAIN","%25DOMAIN","foobar","foobar","foodomain.com","foodomain.com","","","/","/","","","","","ok"
"http:\\www.google.com\foo","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.google.com","www.google.com","","","/foo","/foo","","","","","ok"
"http://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","foo","foo","","","/","/","","","","","warning-no-tld"
"http://foo:81/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","foo","foo","81","81","/","/","","","","","warning-no-tld"
"httpa://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"httpa","httpa","","","","","foo","foo","80","80","/","/","","","","","ok"
"https://foo:443/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","foo","foo","","","/","/","","","","","warning-no-tld"
"https://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","foo","foo","80","80","/","/","","","","","warning-no-tld"
"ftp://foo:21/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftp","ftp","","","","","foo","foo","","","/","/","","","","","warning-no-tld"
"ftp://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftp","ftp","","","","","foo","foo","80","80","/","/","","","","","warning-no-tld"
"gopher://foo:70/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"gopher","gopher","","","","","foo","foo","70","70","/","/","","","","","ok"
"gopher://foo:443/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"gopher","gopher","","","","","foo","foo","443","443","/","/","","","","","ok"
"ws://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","foo","foo","","","/","/","","","","","warning-no-tld"
"ws://foo:81/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","foo","foo","81","81","/","/","","","","","warning-no-tld"
"ws://foo:443/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","foo","foo","443","443","/","/","","","","","warning-no-tld"
"ws://foo:815/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","foo","foo","815","815","/","/","","","","","warning-no-tld"
"wss://foo:80/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","foo","foo","80","80","/","/","","","","","warning-no-tld"
"wss://foo:81/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","foo","foo","81","81","/","/","","","","","warning-no-tld"
"wss://foo:443/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","foo","foo","","","/","/","","","","","warning-no-tld"
"wss://foo:815/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","foo","foo","815","815","/","/","","","","","warning-no-tld"
"http:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/","/","","","","","ok"
"ftp:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftp","ftp","","","","","example.com","example.com","","","/","/","","","","","ok-ftp"
"https:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","example.com","example.com","","","/","/","","","","","ok"
"madeupscheme:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"madeupscheme","madeupscheme","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"file:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"ftps:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftps","ftps","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"gopher:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"gopher","gopher","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"ws:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","example.com","example.com","","","/","/","","","","","ok"
"wss:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","example.com","example.com","","","/","/","","","","","ok"
"data:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"data","data","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"javascript:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"javascript","javascript","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"mailto:/example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"mailto","mailto","","","","","","","","","/example.com/","/example.com/","","","","","ok"
"http:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","example.com","example.com","","","/","/","","","","","ok"
"ftp:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftp","ftp","","","","","example.com","example.com","","","/","/","","","","","ok-ftp"
"https:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","example.com","example.com","","","/","/","","","","","ok"
"madeupscheme:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"madeupscheme","madeupscheme","","","","","","","","","example.com/","example.com/","","","","","ok"
"ftps:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ftps","ftps","","","","","","","","","example.com/","example.com/","","","","","ok"
"gopher:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"gopher","gopher","","","","","","","","","example.com/","example.com/","","","","","ok"
"ws:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"ws","ws","","","","","example.com","example.com","","","/","/","","","","","ok"
"wss:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"wss","wss","","","","","example.com","example.com","","","/","/","","","","","ok"
"data:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"data","data","","","","","","","","","example.com/","example.com/","","","","","ok"
"javascript:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"javascript","javascript","","","","","","","","","example.com/","example.com/","","","","","ok"
"mailto:example.com/","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"mailto","mailto","","","","","","","","","example.com/","example.com/","","","","","ok"
"https://example.com/aaa/bbb/%2e%2e?query","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","example.com","example.com","","","/aaa/","/aaa/","query","query","","","ok"
"http:@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:/@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:a:b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:/a:b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://a:b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://@pple.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","pple.com","pple.com","","","/","/","","","","","ok"
"http::b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:/:b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://:b@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","b","b","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:a:@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http:/a:@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://a:@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","a","a","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"http://www.@pple.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","www.","www.","","","pple.com","pple.com","","","/","/","","","","","ok"
"http://:@www.example.com","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","www.example.com","www.example.com","","","/","/","","","","","ok"
"file:.","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"file","file","","","","","","","","","/","/","","","","","ok"
"non-special:opaque  ","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque","opaque","","","","","ok"
"non-special:opaque  ?hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque %20","opaque %20","hi","hi","","","ok"
"non-special:opaque  #hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque %20","opaque %20","","","hi","hi","ok"
"non-special:opaque  x?hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque  x","opaque  x","hi","hi","","","ok"
"non-special:opaque  x#hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque  x","opaque  x","","","hi","hi","ok"
"non-special:opaque 		  	#hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque  %20","opaque  %20","","","hi","hi","ok"
"non-special:opaque 		  #hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque  %20","opaque  %20","","","hi","hi","ok"
"non-special:opaque		   #hi","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"non-special","non-special","","","","","","","","","opaque  %20","opaque  %20","","","hi","hi","ok"
"https://x/�?�#�","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"https","https","","","","","x","x","","","/%EF%BF%BD","/%EF%BF%BD","%EF%BF%BD","%EF%BF%BD","%EF%BF%BD","%EF%BF%BD","warning-no-tld"
"http://a.b.c.xn--pokxncvks","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","a.b.c.xn--pokxncvks","a.b.c.xn--pokxncvks","","","/","/","","","","","warning-invalid-tld"
"http://10.0.0.xn--pokxncvks","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","10.0.0.xn--pokxncvks","10.0.0.xn--pokxncvks","","","/","/","","","","","warning-invalid-tld"
"http://a.b.c.XN--pokxncvks","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","a.b.c.xn--pokxncvks","a.b.c.xn--pokxncvks","","","/","/","","","","","warning-invalid-tld"
"http://a.b.c.Xn--pokxncvks","general",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"http","http","","","","","a.b.c.xn--pokxncvks","a.b.c.xn--pokxncvks","","","/","/","","","","","warning-invalid-tld"
