"id","construct","input_json"
"c0-trailing-10","c0-control-trailing","""http://example.com/p?q=1#f\u0010"""
"c0-trailing-11","c0-control-trailing","""http://example.com/p?q=1#f\u0011"""
"c0-trailing-12","c0-control-trailing","""http://example.com/p?q=1#f\u0012"""
"c0-trailing-13","c0-control-trailing","""http://example.com/p?q=1#f\u0013"""
"c0-trailing-14","c0-control-trailing","""http://example.com/p?q=1#f\u0014"""
"c0-trailing-15","c0-control-trailing","""http://example.com/p?q=1#f\u0015"""
"c0-trailing-16","c0-control-trailing","""http://example.com/p?q=1#f\u0016"""
"c0-trailing-17","c0-control-trailing","""http://example.com/p?q=1#f\u0017"""
"c0-trailing-18","c0-control-trailing","""http://example.com/p?q=1#f\u0018"""
"c0-trailing-19","c0-control-trailing","""http://example.com/p?q=1#f\u0019"""
"c0-trailing-1a","c0-control-trailing","""http://example.com/p?q=1#f\u001a"""
"c0-trailing-1b","c0-control-trailing","""http://example.com/p?q=1#f\u001b"""
"c0-trailing-1c","c0-control-trailing","""http://example.com/p?q=1#f\u001c"""
"c0-trailing-1d","c0-control-trailing","""http://example.com/p?q=1#f\u001d"""
"c0-trailing-1e","c0-control-trailing","""http://example.com/p?q=1#f\u001e"""
"c0-trailing-1f","c0-control-trailing","""http://example.com/p?q=1#f\u001f"""
"c0-trailing-7f","c0-control-trailing","""http://example.com/p?q=1#f\u007f"""
"c0-scheme-01","c0-control-scheme","""ht\u0001tp://example.com/p?q=1#f"""
"c0-scheme-02","c0-control-scheme","""ht\u0002tp://example.com/p?q=1#f"""
"c0-scheme-03","c0-control-scheme","""ht\u0003tp://example.com/p?q=1#f"""
"c0-scheme-04","c0-control-scheme","""ht\u0004tp://example.com/p?q=1#f"""
"c0-scheme-05","c0-control-scheme","""ht\u0005tp://example.com/p?q=1#f"""
"c0-scheme-06","c0-control-scheme","""ht\u0006tp://example.com/p?q=1#f"""
"c0-scheme-07","c0-control-scheme","""ht\u0007tp://example.com/p?q=1#f"""
"c0-scheme-08","c0-control-scheme","""ht\btp://example.com/p?q=1#f"""
"c0-scheme-09","c0-control-scheme","""ht\ttp://example.com/p?q=1#f"""
"c0-scheme-0a","c0-control-scheme","""ht\ntp://example.com/p?q=1#f"""
"c0-scheme-0b","c0-control-scheme","""ht\u000btp://example.com/p?q=1#f"""
"c0-scheme-0c","c0-control-scheme","""ht\ftp://example.com/p?q=1#f"""
"c0-scheme-0d","c0-control-scheme","""ht\rtp://example.com/p?q=1#f"""
"c0-scheme-0e","c0-control-scheme","""ht\u000etp://example.com/p?q=1#f"""
"c0-scheme-0f","c0-control-scheme","""ht\u000ftp://example.com/p?q=1#f"""
"c0-scheme-10","c0-control-scheme","""ht\u0010tp://example.com/p?q=1#f"""
"c0-scheme-11","c0-control-scheme","""ht\u0011tp://example.com/p?q=1#f"""
"c0-scheme-12","c0-control-scheme","""ht\u0012tp://example.com/p?q=1#f"""
"c0-scheme-13","c0-control-scheme","""ht\u0013tp://example.com/p?q=1#f"""
"c0-scheme-14","c0-control-scheme","""ht\u0014tp://example.com/p?q=1#f"""
"c0-scheme-15","c0-control-scheme","""ht\u0015tp://example.com/p?q=1#f"""
"c0-scheme-16","c0-control-scheme","""ht\u0016tp://example.com/p?q=1#f"""
"c0-scheme-17","c0-control-scheme","""ht\u0017tp://example.com/p?q=1#f"""
"c0-scheme-18","c0-control-scheme","""ht\u0018tp://example.com/p?q=1#f"""
"c0-scheme-19","c0-control-scheme","""ht\u0019tp://example.com/p?q=1#f"""
"c0-scheme-1a","c0-control-scheme","""ht\u001atp://example.com/p?q=1#f"""
"c0-scheme-1b","c0-control-scheme","""ht\u001btp://example.com/p?q=1#f"""
"c0-scheme-1c","c0-control-scheme","""ht\u001ctp://example.com/p?q=1#f"""
"c0-scheme-1d","c0-control-scheme","""ht\u001dtp://example.com/p?q=1#f"""
"c0-scheme-1e","c0-control-scheme","""ht\u001etp://example.com/p?q=1#f"""
"c0-scheme-1f","c0-control-scheme","""ht\u001ftp://example.com/p?q=1#f"""
"c0-scheme-7f","c0-control-scheme","""ht\u007ftp://example.com/p?q=1#f"""
"c0-host-01","c0-control-host","""http://exam\u0001ple.com/p?q=1#f"""
"c0-host-02","c0-control-host","""http://exam\u0002ple.com/p?q=1#f"""
"c0-host-03","c0-control-host","""http://exam\u0003ple.com/p?q=1#f"""
"c0-host-04","c0-control-host","""http://exam\u0004ple.com/p?q=1#f"""
"c0-host-05","c0-control-host","""http://exam\u0005ple.com/p?q=1#f"""
"c0-host-06","c0-control-host","""http://exam\u0006ple.com/p?q=1#f"""
"c0-host-07","c0-control-host","""http://exam\u0007ple.com/p?q=1#f"""
"c0-host-08","c0-control-host","""http://exam\bple.com/p?q=1#f"""
"c0-host-09","c0-control-host","""http://exam\tple.com/p?q=1#f"""
"c0-host-0a","c0-control-host","""http://exam\nple.com/p?q=1#f"""
"c0-host-0b","c0-control-host","""http://exam\u000bple.com/p?q=1#f"""
"c0-host-0c","c0-control-host","""http://exam\fple.com/p?q=1#f"""
"c0-host-0d","c0-control-host","""http://exam\rple.com/p?q=1#f"""
"c0-host-0e","c0-control-host","""http://exam\u000eple.com/p?q=1#f"""
"c0-host-0f","c0-control-host","""http://exam\u000fple.com/p?q=1#f"""
"c0-host-10","c0-control-host","""http://exam\u0010ple.com/p?q=1#f"""
"c0-host-11","c0-control-host","""http://exam\u0011ple.com/p?q=1#f"""
"c0-host-12","c0-control-host","""http://exam\u0012ple.com/p?q=1#f"""
"c0-host-13","c0-control-host","""http://exam\u0013ple.com/p?q=1#f"""
"c0-host-14","c0-control-host","""http://exam\u0014ple.com/p?q=1#f"""
"c0-host-15","c0-control-host","""http://exam\u0015ple.com/p?q=1#f"""
"c0-host-16","c0-control-host","""http://exam\u0016ple.com/p?q=1#f"""
"c0-host-17","c0-control-host","""http://exam\u0017ple.com/p?q=1#f"""
"c0-host-18","c0-control-host","""http://exam\u0018ple.com/p?q=1#f"""
"c0-host-19","c0-control-host","""http://exam\u0019ple.com/p?q=1#f"""
"c0-host-1a","c0-control-host","""http://exam\u001aple.com/p?q=1#f"""
"c0-host-1b","c0-control-host","""http://exam\u001bple.com/p?q=1#f"""
"c0-host-1c","c0-control-host","""http://exam\u001cple.com/p?q=1#f"""
"c0-host-1d","c0-control-host","""http://exam\u001dple.com/p?q=1#f"""
"c0-host-1e","c0-control-host","""http://exam\u001eple.com/p?q=1#f"""
"c0-host-1f","c0-control-host","""http://exam\u001fple.com/p?q=1#f"""
"c0-host-7f","c0-control-host","""http://exam\u007fple.com/p?q=1#f"""
"c0-path-01","c0-control-path","""http://example.com/p\u0001x?q=1#f"""
"c0-path-02","c0-control-path","""http://example.com/p\u0002x?q=1#f"""
"c0-path-03","c0-control-path","""http://example.com/p\u0003x?q=1#f"""
"c0-path-04","c0-control-path","""http://example.com/p\u0004x?q=1#f"""
"c0-path-05","c0-control-path","""http://example.com/p\u0005x?q=1#f"""
"c0-path-06","c0-control-path","""http://example.com/p\u0006x?q=1#f"""
"c0-path-07","c0-control-path","""http://example.com/p\u0007x?q=1#f"""
"c0-path-08","c0-control-path","""http://example.com/p\bx?q=1#f"""
"c0-path-09","c0-control-path","""http://example.com/p\tx?q=1#f"""
"c0-path-0a","c0-control-path","""http://example.com/p\nx?q=1#f"""
"c0-path-0b","c0-control-path","""http://example.com/p\u000bx?q=1#f"""
"c0-path-0c","c0-control-path","""http://example.com/p\fx?q=1#f"""
"c0-path-0d","c0-control-path","""http://example.com/p\rx?q=1#f"""
"c0-path-0e","c0-control-path","""http://example.com/p\u000ex?q=1#f"""
"c0-path-0f","c0-control-path","""http://example.com/p\u000fx?q=1#f"""
"c0-path-10","c0-control-path","""http://example.com/p\u0010x?q=1#f"""
"c0-path-11","c0-control-path","""http://example.com/p\u0011x?q=1#f"""
"c0-path-12","c0-control-path","""http://example.com/p\u0012x?q=1#f"""
"c0-path-13","c0-control-path","""http://example.com/p\u0013x?q=1#f"""
"c0-path-14","c0-control-path","""http://example.com/p\u0014x?q=1#f"""
"c0-path-15","c0-control-path","""http://example.com/p\u0015x?q=1#f"""
"c0-path-16","c0-control-path","""http://example.com/p\u0016x?q=1#f"""
"c0-path-17","c0-control-path","""http://example.com/p\u0017x?q=1#f"""
"c0-path-18","c0-control-path","""http://example.com/p\u0018x?q=1#f"""
"c0-path-19","c0-control-path","""http://example.com/p\u0019x?q=1#f"""
"c0-path-1a","c0-control-path","""http://example.com/p\u001ax?q=1#f"""
"c0-path-1b","c0-control-path","""http://example.com/p\u001bx?q=1#f"""
"c0-path-1c","c0-control-path","""http://example.com/p\u001cx?q=1#f"""
"c0-path-1d","c0-control-path","""http://example.com/p\u001dx?q=1#f"""
"c0-path-1e","c0-control-path","""http://example.com/p\u001ex?q=1#f"""
"c0-path-1f","c0-control-path","""http://example.com/p\u001fx?q=1#f"""
"c0-path-7f","c0-control-path","""http://example.com/p\u007fx?q=1#f"""
"c0-query-01","c0-control-query","""http://example.com/p?q\u0001=1#f"""
"c0-query-02","c0-control-query","""http://example.com/p?q\u0002=1#f"""
"c0-query-03","c0-control-query","""http://example.com/p?q\u0003=1#f"""
"c0-query-04","c0-control-query","""http://example.com/p?q\u0004=1#f"""
"c0-query-05","c0-control-query","""http://example.com/p?q\u0005=1#f"""
"c0-query-06","c0-control-query","""http://example.com/p?q\u0006=1#f"""
"c0-query-07","c0-control-query","""http://example.com/p?q\u0007=1#f"""
"c0-query-08","c0-control-query","""http://example.com/p?q\b=1#f"""
"c0-query-09","c0-control-query","""http://example.com/p?q\t=1#f"""
"c0-query-0a","c0-control-query","""http://example.com/p?q\n=1#f"""
"c0-query-0b","c0-control-query","""http://example.com/p?q\u000b=1#f"""
"c0-query-0c","c0-control-query","""http://example.com/p?q\f=1#f"""
"c0-query-0d","c0-control-query","""http://example.com/p?q\r=1#f"""
"c0-query-0e","c0-control-query","""http://example.com/p?q\u000e=1#f"""
"c0-query-0f","c0-control-query","""http://example.com/p?q\u000f=1#f"""
"c0-query-10","c0-control-query","""http://example.com/p?q\u0010=1#f"""
"c0-query-11","c0-control-query","""http://example.com/p?q\u0011=1#f"""
"c0-query-12","c0-control-query","""http://example.com/p?q\u0012=1#f"""
"c0-query-13","c0-control-query","""http://example.com/p?q\u0013=1#f"""
"c0-query-14","c0-control-query","""http://example.com/p?q\u0014=1#f"""
"c0-query-15","c0-control-query","""http://example.com/p?q\u0015=1#f"""
"c0-query-16","c0-control-query","""http://example.com/p?q\u0016=1#f"""
"c0-query-17","c0-control-query","""http://example.com/p?q\u0017=1#f"""
"c0-query-18","c0-control-query","""http://example.com/p?q\u0018=1#f"""
"c0-query-19","c0-control-query","""http://example.com/p?q\u0019=1#f"""
"c0-query-1a","c0-control-query","""http://example.com/p?q\u001a=1#f"""
"c0-query-1b","c0-control-query","""http://example.com/p?q\u001b=1#f"""
"c0-query-1c","c0-control-query","""http://example.com/p?q\u001c=1#f"""
"c0-query-1d","c0-control-query","""http://example.com/p?q\u001d=1#f"""
"c0-query-1e","c0-control-query","""http://example.com/p?q\u001e=1#f"""
"c0-query-1f","c0-control-query","""http://example.com/p?q\u001f=1#f"""
"c0-query-7f","c0-control-query","""http://example.com/p?q\u007f=1#f"""
"c0-fragment-01","c0-control-fragment","""http://example.com/p?q=1#f\u0001g"""
"c0-fragment-02","c0-control-fragment","""http://example.com/p?q=1#f\u0002g"""
"c0-fragment-03","c0-control-fragment","""http://example.com/p?q=1#f\u0003g"""
"c0-fragment-04","c0-control-fragment","""http://example.com/p?q=1#f\u0004g"""
"c0-fragment-05","c0-control-fragment","""http://example.com/p?q=1#f\u0005g"""
"c0-fragment-06","c0-control-fragment","""http://example.com/p?q=1#f\u0006g"""
"c0-fragment-07","c0-control-fragment","""http://example.com/p?q=1#f\u0007g"""
"c0-fragment-08","c0-control-fragment","""http://example.com/p?q=1#f\bg"""
"c0-fragment-09","c0-control-fragment","""http://example.com/p?q=1#f\tg"""
"c0-fragment-0a","c0-control-fragment","""http://example.com/p?q=1#f\ng"""
"c0-fragment-0b","c0-control-fragment","""http://example.com/p?q=1#f\u000bg"""
"c0-fragment-0c","c0-control-fragment","""http://example.com/p?q=1#f\fg"""
"c0-fragment-0d","c0-control-fragment","""http://example.com/p?q=1#f\rg"""
"c0-fragment-0e","c0-control-fragment","""http://example.com/p?q=1#f\u000eg"""
"c0-fragment-0f","c0-control-fragment","""http://example.com/p?q=1#f\u000fg"""
"c0-fragment-10","c0-control-fragment","""http://example.com/p?q=1#f\u0010g"""
"c0-fragment-11","c0-control-fragment","""http://example.com/p?q=1#f\u0011g"""
"c0-fragment-12","c0-control-fragment","""http://example.com/p?q=1#f\u0012g"""
"c0-fragment-13","c0-control-fragment","""http://example.com/p?q=1#f\u0013g"""
"c0-fragment-14","c0-control-fragment","""http://example.com/p?q=1#f\u0014g"""
"c0-fragment-15","c0-control-fragment","""http://example.com/p?q=1#f\u0015g"""
"c0-fragment-16","c0-control-fragment","""http://example.com/p?q=1#f\u0016g"""
"c0-fragment-17","c0-control-fragment","""http://example.com/p?q=1#f\u0017g"""
"c0-fragment-18","c0-control-fragment","""http://example.com/p?q=1#f\u0018g"""
"c0-fragment-19","c0-control-fragment","""http://example.com/p?q=1#f\u0019g"""
"c0-fragment-1a","c0-control-fragment","""http://example.com/p?q=1#f\u001ag"""
"c0-fragment-1b","c0-control-fragment","""http://example.com/p?q=1#f\u001bg"""
"c0-fragment-1c","c0-control-fragment","""http://example.com/p?q=1#f\u001cg"""
"c0-fragment-1d","c0-control-fragment","""http://example.com/p?q=1#f\u001dg"""
"c0-fragment-1e","c0-control-fragment","""http://example.com/p?q=1#f\u001eg"""
"c0-fragment-1f","c0-control-fragment","""http://example.com/p?q=1#f\u001fg"""
"c0-fragment-7f","c0-control-fragment","""http://example.com/p?q=1#f\u007fg"""
"c0-strip-01","c0-whatwg-strip","""http://exa\tmple.com/\np"""
"c0-strip-02","c0-whatwg-strip","""http://example.com/\r\np"""
"c0-strip-03","c0-whatwg-strip","""http://example.com/p\r\n"""
"c0-strip-04","c0-whatwg-strip","""\r\nhttp://example.com/p"""
"c0-strip-05","c0-whatwg-strip","""http\n://example.com/p"""
"c0-strip-06","c0-whatwg-strip","""http:\t//example.com/p"""
"c0-strip-07","c0-whatwg-strip","""http://example.com\t:80/p"""
"c0-strip-08","c0-whatwg-strip","""http://example.com:\n80/p"""
"c0-strip-09","c0-whatwg-strip","""http://us\rer:pw@example.com/p"""
"c0-strip-10","c0-whatwg-strip","""http://example.com/p?a=\t1&b=\n2"""
"c0-strip-11","c0-whatwg-strip","""http://example.com/p#fr\rag"""
"c0-strip-12","c0-whatwg-strip","""http://ex\t\n\rample.com/p"""
"ipv4-octal-01","ipv4-octal","""http://0177.0.0.1/"""
"ipv4-octal-02","ipv4-octal","""http://0177.00.00.01/"""
"ipv4-octal-03","ipv4-octal","""http://0177.000.0000.00001/"""
"ipv4-octal-04","ipv4-octal","""http://0251.0376.0251.0376/"""
"ipv4-octal-05","ipv4-octal","""http://010.010.010.010/"""
"ipv4-octal-06","ipv4-octal","""http://0300.0250.0.01/"""
"ipv4-hex-01","ipv4-hex","""http://0x7f.0x0.0x0.0x1/"""
"ipv4-hex-02","ipv4-hex","""http://0x7f.0x00.0x00.0x01/"""
"ipv4-hex-03","ipv4-hex","""http://0xa9.0xfe.0xa9.0xfe/"""
"ipv4-hex-04","ipv4-hex","""http://0X7F.0X0.0X0.0X1/"""
"ipv4-hex-05","ipv4-hex","""http://0x7f000001/"""
"ipv4-hex-06","ipv4-hex","""http://0xa9fea9fe/"""
"ipv4-dword-01","ipv4-dword","""http://2130706433/"""
"ipv4-dword-02","ipv4-dword","""http://2852039166/"""
"ipv4-dword-03","ipv4-dword","""http://3232235777/"""
"ipv4-dword-04","ipv4-dword","""http://4294967295/"""
"ipv4-dword-05","ipv4-dword","""http://4294967296/"""
"ipv4-dword-06","ipv4-dword","""http://0/"""
"ipv4-mixed-01","ipv4-mixed-radix","""http://0x7f.00.0.1/"""
"ipv4-mixed-02","ipv4-mixed-radix","""http://0177.0x0.1/"""
"ipv4-mixed-03","ipv4-mixed-radix","""http://0xa9.254.0xa9.0376/"""
"ipv4-mixed-04","ipv4-mixed-radix","""http://0x7f.1/"""
"ipv4-mixed-05","ipv4-mixed-radix","""http://127.0x1/"""
"ipv4-mixed-06","ipv4-mixed-radix","""http://0177.1.0x1/"""
"ipv4-padded-01","ipv4-padded-octet","""http://127.000.000.001/"""
"ipv4-padded-02","ipv4-padded-octet","""http://0000127.0.0.1/"""
"ipv4-padded-03","ipv4-padded-octet","""http://127.0.0.0000001/"""
"ipv4-padded-04","ipv4-padded-octet","""http://00000000000000000001.0.0.1/"""
"ipv4-short-01","ipv4-short-form","""http://127.1/"""
"ipv4-short-02","ipv4-short-form","""http://127.0.1/"""
"ipv4-short-03","ipv4-short-form","""http://192.168.1/"""
"ipv4-short-04","ipv4-short-form","""http://1/"""
"ipv4-short-05","ipv4-short-form","""http://1.1/"""
"ipv4-dot-01","ipv4-trailing-dot","""http://127.0.0.1./"""
"ipv4-dot-02","ipv4-trailing-dot","""http://127.0.0.1../"""
"ipv4-dot-03","ipv4-trailing-dot","""http://.127.0.0.1/"""
"ipv4-dot-04","ipv4-trailing-dot","""http://example.com./"""
"ipv4-dot-05","ipv4-trailing-dot","""http://127.0.0.1.:80/"""
"ipv4-range-01","ipv4-out-of-range","""http://127.0.0.256/"""
"ipv4-range-02","ipv4-out-of-range","""http://256.256.256.256/"""
"ipv4-range-03","ipv4-out-of-range","""http://999.999.999.999/"""
"ipv4-range-04","ipv4-out-of-range","""http://127.0.0.1.1/"""
"ipv4-range-05","ipv4-out-of-range","""http://0xffffffff.0/"""
"ipv4-range-06","ipv4-out-of-range","""http://0xffffffff1/"""
"ipv4-range-07","ipv4-out-of-range","""http://-1.0.0.1/"""
"ipv4-range-08","ipv4-out-of-range","""http://127.0.0.0x100/"""
"file-authority-01","file-authority","""file://example.com/path"""
"file-authority-02","file-authority","""file:///path"""
"file-authority-03","file-authority","""file://localhost/path"""
"file-authority-04","file-authority","""file://./path"""
"file-authority-05","file-authority","""file://../path"""
"file-authority-06","file-authority","""file:///"""
"file-authority-07","file-authority","""file://"""
"file-authority-08","file-authority","""file:/path"""
"file-authority-09","file-authority","""file:path"""
"file-authority-10","file-authority","""file://user@example.com/path"""
"file-authority-11","file-authority","""file://example.com:80/path"""
"file-authority-12","file-authority","""file://LOCALHOST/path"""
"file-drive-01","file-drive-letter","""file:C:/x"""
"file-drive-02","file-drive-letter","""file:///C:/x"""
"file-drive-03","file-drive-letter","""file://C|/x"""
"file-drive-04","file-drive-letter","""file:C|/x"""
"file-drive-05","file-drive-letter","""file:C||/x"""
"file-drive-06","file-drive-letter","""file:/C|/"""
"file-drive-07","file-drive-letter","""file:///c:/Windows/System32"""
"file-drive-08","file-drive-letter","""file://localhost/C:/x"""
"file-drive-09","file-drive-letter","""file:///C:"""
"file-drive-10","file-drive-letter","""file:///C:/"""
"file-backslash-01","file-backslash-separator","""file://\\\\server\\share"""
"file-backslash-02","file-backslash-separator","""file:///C:\\x\\y"""
"file-backslash-03","file-backslash-separator","""file:\\\\C:\\x"""
"file-backslash-04","file-backslash-separator","""file://example.com\\path"""
"file-backslash-05","file-backslash-separator","""file:///path\\to\\file"""
"empty-01","empty-component","""http://"""
"empty-02","empty-component","""http:///path"""
"empty-03","empty-component","""http://:80/"""
"empty-04","empty-component","""http://example.com:"""
"empty-05","empty-component","""http://example.com:/path"""
"empty-06","empty-component","""http://example.com?"""
"empty-07","empty-component","""http://example.com#"""
"empty-08","empty-component","""http://example.com/?#"""
"empty-09","empty-component","""http://example.com"""
"empty-10","empty-component","""//example.com/path"""
"empty-11","empty-component","""//"""
"empty-12","empty-component","""///path"""
"empty-13","empty-component","""http://@example.com/"""
"empty-14","empty-component","""http://:@example.com/"""
"empty-15","empty-component","""http://user@example.com/"""
"empty-16","empty-component","""http://:pw@example.com/"""
"empty-17","empty-component","""http:"""
"empty-18","empty-component",""""""
"empty-19","empty-component",""" """
"empty-20","empty-component","""http://example.com/?a="""
"empty-21","empty-component","""http://example.com/#"""
"empty-22","empty-component","""http://example.com/p?#f"""
"idn-nonchar-01","idn-noncharacter","""https://\uffffy"""
"idn-nonchar-02","idn-noncharacter","""https://\ufffey"""
"idn-nonchar-03","idn-noncharacter","""https://ex\uffffample.com/"""
"idn-nonchar-04","idn-noncharacter","""https://example.com/p\uffff"""
"idn-nonchar-05","idn-noncharacter","""https://example.com/?q=\uffff"""
"idn-nonchar-06","idn-noncharacter","""https://\ufdd0example.com/"""
"idn-nonchar-07","idn-noncharacter","""https://exam\ud83f\udffeple.com/"""
"idn-astral-01","idn-astral-plane","""https://\ud83d\ude00.com/"""
"idn-astral-02","idn-astral-plane","""https://ex\ud834\udd1eample.com/"""
"idn-astral-03","idn-astral-plane","""https://example.com/\ud83d\ude00"""
"idn-astral-04","idn-astral-plane","""https://example.com/?q=\ud841\udf0e"""
"idn-astral-05","idn-astral-plane","""https://\udbff\udfff.com/"""
"idn-astral-06","idn-astral-plane","""https://\ud83d\ude00\ud83d\ude01.example.com/"""
"idn-invisible-01","idn-invisible-codepoint","""https://exam\u00adple.com/"""
"idn-invisible-02","idn-invisible-codepoint","""https://exam\u200bple.com/"""
"idn-invisible-03","idn-invisible-codepoint","""https://exam\u200dple.com/"""
"idn-invisible-04","idn-invisible-codepoint","""https://exam\ufeffple.com/"""
"idn-invisible-05","idn-invisible-codepoint","""https://exam\u00a0ple.com/"""
"idn-invisible-06","idn-invisible-codepoint","""https://\u00adexample.com/"""
"idn-separator-01","idn-label-separator","""http://127\u30020\u30020\u30021/"""
"idn-separator-02","idn-label-separator","""http://127\uff0e0\uff0e0\uff0e1/"""
"idn-separator-03","idn-label-separator","""http://127\uff610\uff610\uff611/"""
"idn-separator-04","idn-label-separator","""https://example\u3002com/"""
"idn-separator-05","idn-label-separator","""https://example\uff0ecom/"""
"idn-separator-06","idn-label-separator","""https://example\uff61com/"""
"idn-puny-01","idn-punycoded-label","""https://xn--bcher-kva.example/"""
"idn-puny-02","idn-punycoded-label","""https://xn--e1afmkfd.xn--p1ai/"""
"idn-puny-03","idn-punycoded-label","""https://xn--/"""
"idn-puny-04","idn-punycoded-label","""https://xn--a.com/"""
"idn-puny-05","idn-punycoded-label","""https://xn--0.com/"""
"idn-puny-06","idn-punycoded-label","""https://xn--bcher-kva.\u043f\u0440.com/"""
"idn-mixed-01","idn-mixed-script","""https://\u0430pple.com/"""
"idn-mixed-02","idn-mixed-script","""https://p\u0430ypal.com/"""
"idn-mixed-03","idn-mixed-script","""https://\u4f8b\u5b50.test/"""
"idn-mixed-04","idn-mixed-script","""https://\u03bfrange.com/"""
"idn-mixed-05","idn-mixed-script","""https://caf\u00e9.example/"""
"idn-mixed-06","idn-mixed-script","""https://cafe\u0301.example/"""
"idn-bidi-01","idn-bidi","""https://\u05d0\u05d1\u05d2.example/"""
"idn-bidi-02","idn-bidi","""https://\u0627\u0628\u062c.example/"""
"idn-bidi-03","idn-bidi","""https://a\u05d01.example/"""
"idn-bidi-04","idn-bidi","""https://\u202eexample.com/"""
"idn-bidi-05","idn-bidi","""https://exa\u200fmple.com/"""
"idn-long-01","idn-overlong-label","""https://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com/"""
"idn-long-02","idn-overlong-label","""https://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com/"""
