"input","axis","divergent_components","rurl(rfc3986)","rurl(whatwg)","curl","adaR","urltools"
"http://1.2.3.08","other","scheme,host,port,path","http|1.2.3.08||/ [warning-invalid-tld]","<error>","http|1.2.3.08||/","<reject>","http|1.2.3.08||/"
"http://a!b.example.com/","other","scheme,host,port,path","http|a!b.example.com||/ [warning-invalid-tld]","http|a!b.example.com||/ [warning-invalid-tld]","<error>","http|a!b.example.com||/","http|a!b.example.com||/"
"http://a'b.example.com/","other","scheme,host,port,path","http|a'b.example.com||/ [warning-invalid-tld]","http|a'b.example.com||/ [warning-invalid-tld]","<error>","http|a'b.example.com||/","http|a'b.example.com||/"
"http://a+b.example.com/","other","scheme,host,port,path","http|a+b.example.com||/ [warning-invalid-tld]","http|a+b.example.com||/ [warning-invalid-tld]","<error>","http|a+b.example.com||/","http|a+b.example.com||/"
"http://a=b.example.com/","other","scheme,host,port,path","http|a=b.example.com||/ [warning-invalid-tld]","http|a=b.example.com||/ [warning-invalid-tld]","<error>","http|a=b.example.com||/","http|a=b.example.com||/"
"http://a;b.example.com/","other","scheme,host,port,path","http|a;b.example.com||/ [warning-invalid-tld]","http|a;b.example.com||/ [warning-invalid-tld]","<error>","http|a;b.example.com||/","http|a;b.example.com||/"
"http://ex.com%60x.example.com/","other","scheme,host,port,path","http|ex.com%60x.example.com||/ [warning-invalid-tld]","http|ex.com`x.example.com||/ [warning-invalid-tld]","<error>","http|ex.com`x.example.com||/","http|ex.com%60x.example.com||/"
"file://example:1/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|example|1|/"
"file://example:test/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|example|test|/"
"file://example%/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|example%||/"
"file://[example]/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|||/"
"http://user:pass@/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/"
"http://foo:-80/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|foo|-80|/"
"http:/:@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http://user@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/www.example.com"
"http:@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http:/@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http://@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/www.example.com"
"https:@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http:a:b@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http:/a:b@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http://a:b@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/www.example.com"
"http::@/www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|||/www.example.com"
"http:@:www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","||www.example.com|/"
"http:/@:www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","||www.example.com|/"
"http://@:www.example.com","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http||www.example.com|/"
"https://�","ext-wpt-urltestdata","scheme,host,port,path","https|�||/ [warning-no-tld]","<error>","https|�||/","<reject>","https|�||/"
"https://%EF%BF%BD","ext-wpt-urltestdata","scheme,host,port,path","https|�||/ [warning-no-tld]","<error>","https|�||/","<reject>","https|%ef%bf%bd||/"
"https://x x:12","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|x x|12|/"
"http://[www.google.com]/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|||/"
"sc://@/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|||/"
"sc://te@s:t@/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|s|t@|/"
"sc://:/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|||/"
"sc://:12/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc||12|/"
"sc://a b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a b||/"
"sc://a<b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a<b||/"
"sc://a>b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a>b||/"
"sc://a[b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a[b||/"
"sc://a\b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a\b||/"
"sc://a]b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a]b||/"
"sc://a^b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","sc|a^b||/"
"sc://a|b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","sc|a|b||/","<reject>","sc|a|b||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://a b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a b||/"
"http://a%b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a%b||/"
"http://a<b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a<b||/"
"http://a>b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a>b||/"
"http://a[b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a[b||/"
"http://a]b/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a]b||/"
"http://a^b","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|a^b||/"
"http://a|b/","ext-wpt-urltestdata","scheme,host,port,path","http|a|b||/ [warning-no-tld]","<error>","http|a|b||/","<reject>","http|a|b||/"
"http://ab/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ab||/"
"http://ho%00st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%00st||/"
"http://ho%01st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%01st||/"
"http://ho%02st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%02st||/"
"http://ho%03st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%03st||/"
"http://ho%04st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%04st||/"
"http://ho%05st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%05st||/"
"http://ho%06st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%06st||/"
"http://ho%07st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%07st||/"
"http://ho%08st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%08st||/"
"http://ho%09st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%09st||/"
"http://ho%0Ast/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0ast||/"
"http://ho%0Bst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0bst||/"
"http://ho%0Cst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0cst||/"
"http://ho%0Dst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0dst||/"
"http://ho%0Est/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0est||/"
"http://ho%0Fst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%0fst||/"
"http://ho%10st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%10st||/"
"http://ho%11st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%11st||/"
"http://ho%12st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%12st||/"
"http://ho%13st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%13st||/"
"http://ho%14st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%14st||/"
"http://ho%15st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%15st||/"
"http://ho%16st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%16st||/"
"http://ho%17st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%17st||/"
"http://ho%18st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%18st||/"
"http://ho%19st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%19st||/"
"http://ho%1Ast/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1ast||/"
"http://ho%1Bst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1bst||/"
"http://ho%1Cst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1cst||/"
"http://ho%1Dst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1dst||/"
"http://ho%1Est/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1est||/"
"http://ho%1Fst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%1fst||/"
"http://ho%20st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%20st||/"
"http://ho%23st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%23st||/"
"http://ho%25st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%25st||/"
"http://ho%2Fst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%2fst||/"
"http://ho%3Ast/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%3ast||/"
"http://ho%3Cst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%3cst||/"
"http://ho%3Est/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%3est||/"
"http://ho%3Fst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%3fst||/"
"http://ho%40st/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%40st||/"
"http://ho%5Bst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%5bst||/"
"http://ho%5Cst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%5cst||/"
"http://ho%5Dst/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","http|ho%5dst||/"
"http://ho%7Cst/","ext-wpt-urltestdata","scheme,host,port,path","http|ho|st||/ [warning-no-tld]","<error>","http|ho|st||/","<reject>","http|ho%7cst||/"
"http://ho%7Fst/","ext-wpt-urltestdata","scheme,host,port,path","http|host||/ [warning-no-tld]","<error>","http|host||/","<reject>","http|ho%7fst||/"
"ftp://example.com%80/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","ftp|example.com%80||/"
"ftp://example.com%A0/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","ftp|example.com%a0||/"
"https://example.com%80/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|example.com%80||/"
"https://example.com%A0/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|example.com%a0||/"
"https://0x100000000/test","ext-wpt-urltestdata","scheme,host,port,path","https|0x100000000||/test [warning-no-tld]","<error>","https|0x100000000||/test","<reject>","https|0x100000000||/test"
"https://256.0.0.1/test","ext-wpt-urltestdata","scheme,host,port,path","https|256.0.0.1||/test [warning-invalid-tld]","<error>","https|256.0.0.1||/test","<reject>","https|256.0.0.1||/test"
"file://%43%3A","ext-wpt-urltestdata","scheme,host,port,path","file|%43%3a||/","<error>","<error>","<reject>","file|%43%3a||/"
"file://%43%7C","ext-wpt-urltestdata","scheme,host,port,path","file|%43%7c||/","<error>","<error>","<reject>","file|%43%7c||/"
"file://%43|","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","file|%43|||/"
"file://C%7C","ext-wpt-urltestdata","scheme,host,port,path","file|c%7c||/","<error>","<error>","<reject>","file|c%7c||/"
"file://%43%7C/","ext-wpt-urltestdata","scheme,host,port,path","file|%43%7c||/","<error>","<error>","<reject>","file|%43%7c||/"
"https://%43%7C/","ext-wpt-urltestdata","scheme,host,port,path","https|c|||/ [warning-no-tld]","<error>","https|C|||/","<reject>","https|%43%7c||/"
"asdf://%43|/","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","asdf|C|||/","<reject>","asdf|%43|||/"
"\\\.\Y:","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|\\\.\y||/"
"\\\.\y:","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","|\\\.\y||/"
"https://[0::0::0]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0::0::0||/"
"https://[0:.0]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:.0||/"
"https://[0:0:]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:0:||/"
"https://[0:1:2:3:4:5:6:7.0.0.0.1]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:1:2:3:4:5:6:7.0.0.0.1||/"
"https://[0:1.00.0.0.0]","ext-wpt-urltestdata","scheme,host,port,path","<error>","<error>","<error>","<reject>","https|0:1.00.0.0.0||/"
