"input","component","rurl(rfc3986)","python-urllib"
"scheme:example.com/path","ACCEPT/REJECT","<error>","accept"
"scheme://example.com:-1","ACCEPT/REJECT","<error>","accept"
"scheme://example.com:+1","ACCEPT/REJECT","<error>","accept"
"schéme://example.com","ACCEPT/REJECT","<error>","accept"
"scheme://username@@@@example.com","ACCEPT/REJECT","<error>","accept"
"file://localhost/path/to/file.txt","host","","localhost"
"file://localhost:8098/path/to/file.txt","ACCEPT/REJECT","<error>","accept"
"data:space    ?test#test","ACCEPT/REJECT","<error>","accept"
"a:b#","ACCEPT/REJECT","<error>","accept"
"https://user:pass@xdavidhu.me	est.corp.google.com","ACCEPT/REJECT","<error>","accept"
"http://127.0.0.
1:6379?SET
test
failure12:80","ACCEPT/REJECT","<error>","accept"
"https:/\/\/\github.com/foo/bar","ACCEPT/REJECT","<error>","accept"
"https:///evil.com","host,path","evil.com ; /"," ; /evil.com"
"foo://///////bar.com/","ACCEPT/REJECT","<error>","accept"
"www.php.net:80/index.php?test=1","ACCEPT/REJECT","<error>","accept"
"https://n.pr%2ee.gg","host","n.pr.e.gg","n.pr%2ee.gg"
"https://n.pr
e.gg","ACCEPT/REJECT","<error>","accept"
